epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2196,3.0778,3.69235,2.98346,0.0058,0.4,0.12051,0.03844,2.48282,3.62349,2.81384,0.0001111,0.0001111,0.0001111
2,46.3272,2.53579,3.42041,2.42253,0.00739,0.54667,0.33127,0.20368,2.05956,3.34448,2.56432,0.000221761,0.000221761,0.000221761
3,69.0178,2.0823,3.01582,2.0522,0.00836,0.54667,0.36707,0.2634,1.76603,3.07176,2.18792,0.000320324,0.000320324,0.000320324
4,91.4217,1.8447,2.58752,1.869,0.98465,0.20416,0.39562,0.24975,1.53839,2.7035,1.8173,0.000406787,0.000406787,0.000406787
5,113.917,1.69928,2.33137,1.77263,0.88375,0.24702,0.34675,0.19587,1.97934,2.43403,1.93338,0.000481152,0.000481152,0.000481152
6,136.421,1.67672,2.18014,1.7392,0.86061,0.37314,0.4217,0.25421,1.80157,2.19177,1.80592,0.000543418,0.000543418,0.000543418
7,160.69,1.54809,1.9027,1.65244,0.78506,0.49333,0.45504,0.2335,1.93973,2.08442,1.9505,0.000593585,0.000593585,0.000593585
8,184.415,1.54097,1.90991,1.6796,0.76219,0.50667,0.46087,0.2457,1.90748,2.10111,1.9002,0.000631653,0.000631653,0.000631653
9,208.717,1.43658,1.76412,1.6063,0.78735,0.45333,0.44853,0.25729,1.66387,1.89261,1.68643,0.000657623,0.000657623,0.000657623
10,231.966,1.42009,1.69101,1.58007,0.96718,0.4,0.45799,0.29764,1.5468,1.60296,1.65743,0.000616049,0.000616049,0.000616049
11,254.796,1.32941,2.10337,1.59144,0.96894,0.4,0.45894,0.29111,1.58514,1.5896,1.75345,0.000561055,0.000561055,0.000561055
12,278.517,1.27224,1.97539,1.58523,0.53911,0.44,0.46332,0.21589,1.87686,1.88128,1.93507,0.00050606,0.00050606,0.00050606
13,301.479,1.26695,1.78971,1.55706,0.60125,0.45333,0.50163,0.2576,1.64612,1.83853,1.76991,0.000451066,0.000451066,0.000451066
14,322.933,1.14434,1.66305,1.50938,0.5488,0.52,0.55002,0.31199,1.38319,1.64914,1.60798,0.000396071,0.000396071,0.000396071
15,344.503,1.07296,1.59523,1.47525,0.78386,0.53757,0.63889,0.40841,1.29077,1.55022,1.47399,0.000341077,0.000341077,0.000341077
16,365.843,1.07864,1.53339,1.46421,0.83753,0.53756,0.63342,0.39294,1.29065,1.53931,1.42077,0.000286083,0.000286083,0.000286083
17,388.789,0.99879,1.48717,1.4121,0.88163,0.57333,0.68842,0.40381,1.1999,1.4679,1.36205,0.000231088,0.000231088,0.000231088
18,410.893,0.97608,1.44391,1.41032,0.88055,0.57333,0.68518,0.4229,1.15247,1.46632,1.33762,0.000176094,0.000176094,0.000176094
19,434.876,0.94977,1.3856,1.40157,0.80588,0.6,0.65873,0.42667,1.11723,1.48452,1.31784,0.000121099,0.000121099,0.000121099
20,459.169,0.94959,1.38933,1.39469,0.72077,0.62013,0.61582,0.41945,1.10494,1.49531,1.30723,6.61045e-05,6.61045e-05,6.61045e-05
